config_name,alpha,k,query_id,query,query_type,intent_detected,intent_confidence,num_relevant_docs,num_retrieved_docs,retrieval_time_ms,precision_at_k,recall_at_k,f1_score,mrr,hit_rate_at_k,ndcg_at_k,avg_score,max_score,min_score,retrieved_pages,relevant_pages
Pure_Dense_FAISS,1.0,5,0,What is the definition of Hypertension based on SBP and DBP measurements?,factual,error,0.0,1,5,28.1221866607666,0.0,0.0,0.0,0.0,0.0,0.0,0.6766538023948669,0.7508285045623779,0.5521109104156494,"['8', 'N/A', 'N/A', '58', '8']",['399']
Pure_Dense_FAISS,1.0,5,1,What is the definition of a Hypertensive Urgency?,factual,error,0.0,2,5,18.46623420715332,0.0,0.0,0.0,0.0,0.0,0.0,0.8317520022392273,0.8967183828353882,0.746808648109436,"['8', '15', '16', '15', '128']","['400', '76']"
Pure_Dense_FAISS,1.0,5,2,What are the four main types of Non-Communicable Diseases (NCDs) listed in the sources?,factual,error,0.0,1,5,22.923946380615234,0.0,0.0,0.0,0.0,0.0,0.0,0.6063029766082764,0.6985977292060852,0.4424186944961548,"['123', '24', '4', '23', '7']",['59']
Pure_Dense_FAISS,1.0,5,3,What is the basic formula used to calculate Blood Pressure (BP)?,factual,error,0.0,1,5,19.1652774810791,0.0,0.0,0.0,0.0,0.0,0.0,0.7969227433204651,0.8998737335205078,0.6650872230529785,"['8', 'N/A', '8', '128', 'N/A']",['399']
Pure_Dense_FAISS,1.0,5,4,What are the key features of Generalized Anxiety Disorder?,factual,error,0.0,1,5,15.899181365966797,0.0,0.0,0.0,0.0,0.0,0.0,0.597014307975769,0.7070014476776123,0.3943963050842285,"['160', 'N/A', '162', '42', '161']",['107']
Pure_Dense_FAISS,1.0,5,5,"What is the primary cause of Essential Hypertension, and what percentage of cases does it account for?",factual,error,0.0,2,5,18.841028213500977,0.0,0.0,0.0,0.0,0.0,0.0,0.5564655065536499,0.6141778826713562,0.4844013750553131,"['8', '9', '128', 'N/A', '8']","['401', '75']"
Pure_Dense_FAISS,1.0,5,6,Which BMI classification is considered 'Obesity Class I' according to the specified metrics?,factual,error,0.0,1,5,20.07746696472168,0.0,0.0,0.0,0.0,0.0,0.0,0.8016212582588196,0.9642095565795898,0.6450991034507751,"['24', 'N/A', '123', '124', '124']",['63']
Pure_Dense_FAISS,1.0,5,7,Name two modifiable and two non-modifiable risk factors for Primary Hypertension.,listing,error,0.0,3,5,18.17011833190918,0.0,0.0,0.0,0.0,0.0,0.0,0.6364434957504272,0.7243080139160156,0.41115647554397583,"['129', '129', '8', '9', '128']","['77', '91', '491']"
Pure_Dense_FAISS,1.0,5,8,What is the risk stratification (in terms of risk of comorbidities) for an adult with a BMI of 25.0 to 29.9 kg/m2?,factual,error,0.0,1,5,23.247718811035156,0.0,0.0,0.0,0.0,0.0,0.0,0.8570480346679688,0.8874614238739014,0.7980697154998779,"['N/A', '124', '35', 'N/A', '9']",['63']
Pure_Dense_FAISS,1.0,5,9,What are the specific SBP and DBP ranges that define mildly elevated blood pressure (Hypertension among adults) in the NFHS 5 data tables?,factual,error,0.0,3,5,20.29132843017578,0.0,0.0,0.0,0.0,0.0,0.0,0.846418559551239,0.868511438369751,0.8015409708023071,"['N/A', '8', '59', '39', '19']","['5', '7', '76']"
Pure_Dense_FAISS,1.0,5,10,"What specific health risks are linked to obesity, according to the Adolescent Health Care Manual?",listing,error,0.0,2,5,19.086360931396484,0.0,0.0,0.0,0.0,0.0,0.0,0.6697998046875,0.6941037774085999,0.6578009128570557,"['19', '19', '15', '15', '124']","['2', '4']"
Pure_Dense_FAISS,1.0,5,11,What is the normal pulse rate range (beats per minute) cited in the Care During Pregnancy manual?,factual,error,0.0,1,5,19.30522918701172,0.0,0.0,0.0,0.0,0.0,0.0,0.8021939992904663,0.8756058216094971,0.7308008670806885,"['48', '20', '27', '27', 'N/A']",['150']
Pure_Dense_FAISS,1.0,5,12,What BMI range is considered 'Normal range' for adults?,factual,error,0.0,2,5,16.491413116455078,0.0,0.0,0.0,0.0,0.0,0.0,0.8884360194206238,1.0115363597869873,0.8252351880073547,"['N/A', '24', '35', '22', '123']","['63', '458']"
Pure_Dense_FAISS,1.0,5,13,What three lifestyle habits are explicitly discouraged for DM management according to the Homoeopathy guidelines?,listing,error,0.0,1,5,19.537925720214844,0.0,0.0,0.0,0.0,0.0,0.0,0.6655257344245911,0.7330261468887329,0.6222164630889893,"['N/A', '37', '37', '26', 'N/A']",['94']
Pure_Dense_FAISS,1.0,5,14,"What condition is suggested by non-pitting oedema during pregnancy, and where should the patient be immediately referred?",factual,error,0.0,1,5,20.463228225708008,0.0,0.0,0.0,0.0,0.0,0.0,0.6891576051712036,0.8107461929321289,0.5556563138961792,"['N/A', 'N/A', '20', '28', 'N/A']",['152']
Pure_Dense_FAISS,1.0,5,15,"When performing a breast examination on a premenopausal woman, when is the optimal time for a Clinical Breast Examination (CBE)?",factual,error,0.0,1,5,20.9195613861084,0.0,0.0,0.0,0.0,0.0,0.0,0.6037222146987915,0.637682318687439,0.52294921875,"['N/A', '30', '56', 'N/A', 'N/A']",['509']
Pure_Dense_FAISS,1.0,5,16,What is the target population age group for universal population-based screening for Hypertension and Diabetes under the AB-HWC program?,factual,error,0.0,3,5,19.12379264831543,0.0,0.0,0.0,0.0,0.0,0.0,0.6545366048812866,0.7658344507217407,0.5140810012817383,"['108', '108', '90', 'N/A', '31']","['220', '226', '487']"
Pure_Dense_FAISS,1.0,5,17,What is the cut-off BMI for considering an adult male patient 'Overweight' in the context of HTN risk assessment?,factual,error,0.0,2,5,19.24419403076172,0.0,0.0,0.0,0.0,0.0,0.0,0.8684959411621094,0.938470721244812,0.7337758541107178,"['N/A', '124', 'N/A', '24', '123']","['411', '458']"
Pure_Dense_FAISS,1.0,5,18,What specific blood pressure reading is used as the referral threshold if oedema is present during pregnancy?,factual,error,0.0,3,5,17.22884178161621,0.0,0.0,0.0,0.0,0.0,0.0,0.7340453863143921,0.744806170463562,0.7230632901191711,"['31', '31', '28', 'N/A', 'N/A']","['40', '42', '162']"
Pure_Dense_FAISS,1.0,5,19,"According to the API classification, what BP range defines 'Stage 3 hypertension'?",factual,error,0.0,1,5,17.07601547241211,0.0,0.0,0.0,0.0,0.0,0.0,0.7414156198501587,0.7901339530944824,0.7040776014328003,"['128', '8', 'N/A', 'N/A', '128']",['76']
Pure_Dense_FAISS,1.0,5,20,In which stage of hypertension is a patient advised only lifestyle modifications for 1-2 months before initiating drug therapy (assuming low risk of CVDs)?,factual,error,0.0,2,5,19.766569137573242,0.0,0.0,0.0,0.0,0.0,0.0,0.5192186236381531,0.6648473739624023,0.3831172287464142,"['12', 'N/A', 'N/A', '12', '41']","['419', '420']"
Pure_Dense_FAISS,1.0,5,21,When should drug therapy be initiated immediately for a patient with Stage 3 Hypertension?,factual,error,0.0,2,5,18.503427505493164,0.0,0.0,0.0,0.0,0.0,0.0,0.6486624479293823,0.7716615796089172,0.37115392088890076,"['12', '41', 'N/A', '16', 'N/A']","['420', '422']"
Pure_Dense_FAISS,1.0,5,22,What is the definition of Pre-eclampsia?,factual,error,0.0,1,5,17.474651336669922,0.0,0.0,0.0,0.0,0.0,0.0,0.8049921989440918,0.8834587335586548,0.7537798881530762,"['21', '44', '45', '1', '44']",['168']
Pure_Dense_FAISS,1.0,5,23,List the three common cancers targeted for screening under the AB-HWC program.,listing,error,0.0,4,5,17.113924026489258,0.0,0.0,0.0,0.0,0.0,0.0,0.7880691885948181,0.8245961666107178,0.7265810370445251,"['39', '10', 'N/A', '28', '28']","['220', '221', '297', '521']"
Pure_Dense_FAISS,1.0,5,24,What are the clinical manifestations of Anaemia in pregnant women?,listing,error,0.0,1,5,17.94886589050293,0.2,1.0,0.33333333333333337,0.2,1.0,0.38685280723454163,0.6785324215888977,0.7649074792861938,0.5948354005813599,"['N/A', 'N/A', '19', '47', '34']",['34']
